"method","bias","mae","rmse","spearman","accuracy","rules"
3,-0.0235082832871558,0.0843596645266514,0.12300133226292,0.604399932774427,0.824444444444444,15
4,-0.0217014298638472,0.0848916135917172,0.125320906229907,0.26185103788477,0.751111111111111,14
1,0.0666896179097648,0.10063084229863,0.123848505608748,0.614191414395974,0.446666666666667,0
2,0.0218632568067111,0.0860293163230043,0.109671643206087,0.586903192527093,0.322222222222222,0
3,-0.0051923542416301,0.0789916572347719,0.118894657100877,0,0.791111111111111,0
4,-0.0051923542416301,0.0789916572347719,0.118894657100877,0,0.791111111111111,0
1,-0.0390471654790165,0.0876245806628944,0.112588867713358,0.656215728068258,0.744444444444444,0
2,-0.0247178148472381,0.0852640020678323,0.11621067649093,0.458629658549397,0.793333333333333,0
3,-0.0256919955748296,0.0878956794488472,0.12040206863521,0.551319973231834,0.782222222222222,15
4,-0.0231867047672019,0.0883524330662996,0.121869173701784,0.475480555545199,0.782222222222222,13
1,0.0113445919168746,0.0821313706071475,0.101679803044965,0.702635622606647,0.617777777777778,0
2,0.00208782279542095,0.0871790378827392,0.109412764093025,0.621593521721425,0.528888888888889,0
3,-0.0212893109878465,0.0867042906374951,0.12793223144558,0,0.742222222222222,0
4,-0.0212893109878465,0.0867042906374951,0.12793223144558,0,0.742222222222222,0
1,-0.0209892034854048,0.0762066917801889,0.0958801447574503,0.692398113873277,0.748888888888889,0
2,-0.0202514416463966,0.0868146902785775,0.118661942121283,0.41175196743681,0.755555555555556,0
3,-0.024044280653743,0.0894238521951187,0.122632564276322,0.625150585302372,0.762222222222222,14
4,-0.0205458132273114,0.0888394502390232,0.123438614936153,0.565294728142477,0.762222222222222,13
1,-0.025006054882556,0.0961392595914214,0.122469478194286,0.525815961482942,0.642222222222222,0
2,-0.0130122320942412,0.0718828495716926,0.10143983637047,0.782697907304413,0.708888888888889,0
3,-0.0099614580449054,0.0793083935140419,0.12115015971599,0,0.784444444444444,0
4,-0.0099614580449054,0.0793083935140419,0.12115015971599,0,0.784444444444444,0
1,0.00773203558852909,0.076635783545566,0.096212935516805,0.598757890735309,0.591111111111111,0
2,-0.00277341728772396,0.0790939693160853,0.108469353612568,0.360366395790429,0.462222222222222,0
3,-0.001266741890926,0.0818607897834493,0.11295292542373,0.525191328000327,0.233333333333333,15
4,-0.00111166385586848,0.0823951185088516,0.113664068192022,0.309692137170042,0.233333333333333,12
1,-0.00676790906017984,0.0932052154030561,0.116634458203702,0.58870286131938,0.64,0
2,-0.0272802231685307,0.0851881649233185,0.113057124019978,0.554685199791123,0.706666666666667,0
3,-0.0236310521629279,0.0852205778275762,0.125005535030213,0,0.724444444444444,0
4,-0.0236310521629279,0.0852205778275762,0.125005535030213,0,0.724444444444444,0
1,-0.0215197912086141,0.0800794208165614,0.102892149429292,0.728483939636842,0.702222222222222,0
2,-0.0356442501596993,0.0864249607833577,0.118076190330233,0.4971291365318,0.808888888888889,0
3,-0.0335303910339088,0.0892171473892017,0.122933268583749,0.70582585601415,0.751111111111111,14
4,-0.0354065107803379,0.091703355040369,0.125658307670696,0.532554690093187,0.751111111111111,14
1,-0.0121863103815544,0.0891771166845662,0.113245527259773,0.619326340496053,0.655555555555556,0
2,-0.0178742323276092,0.0868654644884169,0.115486899537326,0.631998099423508,0.686666666666667,0
3,-0.0230126068206584,0.0904421069790157,0.129384052317035,0,0.72,0
4,-0.0230126068206584,0.0904421069790157,0.129384052317035,0,0.72,0
1,-0.00557693500188513,0.088222349928467,0.113651258201622,0.683870968631633,0.653333333333333,0
2,-0.0229695504417407,0.0841762789994294,0.11898057761561,0.644701009890371,0.777777777777778,0
3,-0.0229501726168082,0.0863105701741268,0.12578924627283,0.854674722263756,0.917777777777778,15
4,-0.0236377722553508,0.0887322691944862,0.129204636702521,0.630431698968514,0.751111111111111,15
1,-0.016089730287992,0.0907416879420489,0.114475632290285,0.555324410931043,0.646666666666667,0
2,-0.0108777714985226,0.0884935208697699,0.11759543298385,0.343203384084023,0.508888888888889,0
3,-0.0200925754571237,0.0842083964425946,0.12410783680869,0,0.737777777777778,0
4,-0.0200925754571237,0.0842083964425946,0.12410783680869,0,0.737777777777778,0
1,0.0608598167221966,0.109822057487045,0.134932292495589,0.563997692971666,0.5,0
2,0.0229786068865081,0.100149421360696,0.125295419616866,0.162028674926963,0.277777777777778,0
3,0.0261385527940509,0.103747252428958,0.126448726993235,0.179797816029791,0.231111111111111,14
4,0.0223297499547705,0.102060661070146,0.126126864747813,0.109145400986217,0.231111111111111,15
1,-0.00206416514526254,0.0822239007830136,0.104516072375746,0.682725312472594,0.657777777777778,0
2,-0.042722707298702,0.0925741023452774,0.126334973134351,0.561836985634928,0.768888888888889,0
3,-0.0202117661330263,0.0905942185533414,0.131861876875665,0,0.737777777777778,0
4,-0.0202117661330263,0.0905942185533414,0.131861876875665,0,0.737777777777778,0
1,0.0268531747475323,0.0870606293434851,0.109131605608469,0.605482628758229,0.546666666666667,0
2,-0.0227918747495356,0.0821006843460646,0.11465626114742,0.483871294083209,0.768888888888889,0
3,-0.0276005696020533,0.0861826152417432,0.120483436029244,0.63884821948025,0.773333333333333,15
4,-0.0229445164654411,0.085427182833915,0.121479205798546,0.444294995939413,0.773333333333333,14
1,0.0303043114788011,0.0951652940485482,0.119331869050069,0.551271874421959,0.58,0
2,0.00704315034984266,0.0968245817625085,0.123148878829223,0.114225847818203,0.348888888888889,0
3,-0.0146985873848061,0.0873802163609776,0.124583008949972,0,0.737777777777778,0
4,-0.0146985873848061,0.0873802163609776,0.124583008949972,0,0.737777777777778,0
1,-0.000694772135500187,0.0882464542852991,0.113238650427479,0.609473387106622,0.644444444444444,0
2,-0.016998256797248,0.0811784963910748,0.11189388629314,0.709492066129363,0.775555555555556,0
3,-0.0147305334479598,0.0872020573792705,0.12370489371591,0.824368179526934,0.78,12
4,-0.0155920597940615,0.089079824755342,0.126200106309942,0.66093975652225,0.78,14
1,0.00434116380374849,0.091461666185965,0.112197562264478,0.625103758822818,0.637777777777778,0
2,0.00381310606135196,0.0931594622195045,0.119894217446781,0.56996722076088,0.415555555555556,0
3,-0.0118688862909462,0.0917570825281717,0.129185334076833,0,0.746666666666667,0
4,-0.0118688862909462,0.0917570825281717,0.129185334076833,0,0.746666666666667,0
1,-0.00784043796059263,0.0775543113926243,0.0962413483010415,0.672570897158206,0.633333333333333,0
2,-0.0155727085441221,0.0836317568785237,0.11002930386414,0.507883722005116,0.62,0
3,-0.0179666315508262,0.0808998753426273,0.117300771673205,0.612394678931314,0.617777777777778,15
4,-0.0162107851751785,0.0807594504312348,0.121380584193984,0.389161152910755,0.735555555555556,13
1,-0.00292113183235178,0.0881650059429081,0.109708913847287,0.572757046005779,0.655555555555556,0
2,-0.00101951930344241,0.0807405357756791,0.110435690730413,0.679743760550202,0.568888888888889,0
3,-0.00851134890896146,0.0831631547991673,0.122513348271429,0,0.773333333333333,0
4,-0.00851134890896146,0.0831631547991673,0.122513348271429,0,0.773333333333333,0
1,0.0129761721737973,0.0804506225362168,0.0988437496191642,0.673395650240459,0.575555555555556,0
2,-0.0167783024148748,0.0986187522242043,0.1294156218247,0.218226232576435,0.466666666666667,0
3,-0.0156084220364541,0.0991667988549096,0.131502031904931,0.0816673462956216,0.3,13
4,-0.0160063989630067,0.0991473701881979,0.131719836103198,0.00491048706576333,0.3,12
1,-0.00971872096360706,0.0850070896656824,0.106456057824551,0.576767827516066,0.648888888888889,0
2,-0.0296564454713613,0.0885597592805527,0.121415642191288,0.472588154378954,0.786666666666667,0
3,-0.0151028037021609,0.0869121602325757,0.126813480906069,0,0.751111111111111,0
4,-0.0151028037021609,0.0869121602325757,0.126813480906069,0,0.751111111111111,0
1,0.00343799978849488,0.0965703159447075,0.122260405857525,0.668094618669754,0.651111111111111,0
2,-0.00289991314487159,0.0868016692081953,0.111259525404904,0.647704085523866,0.606666666666667,0
3,-0.00284616467336438,0.0908246897153086,0.121045344203412,0.681310603630101,0.255555555555556,15
4,-0.00488558561806956,0.0938628453833549,0.126382746380193,0.549570880117313,0.255555555555556,14
1,0.0105011930786397,0.0877956554090858,0.109659370379836,0.576321812660306,0.622222222222222,0
2,-0.0117628258054925,0.084954744104386,0.114191707823156,0.612364020693005,0.688888888888889,0
3,-0.012917425402052,0.0884523100127088,0.129086409814263,0,0.762222222222222,0
4,-0.012917425402052,0.0884523100127088,0.129086409814263,0,0.762222222222222,0
1,0.0704411274769418,0.110503909014298,0.132490149782414,0.539229540366551,0.446666666666667,0
2,-0.0144374913235048,0.0888105101107038,0.118360738357484,0.458343193057509,0.6,0
3,-0.0101685834335142,0.0905620349215067,0.123897780757181,0.589433400508684,0.266666666666667,15
4,-0.0129697811111774,0.0907307484390535,0.125797792762914,0.57233573454551,0.266666666666667,13
1,0.0121909364635011,0.08624826846257,0.108478354728897,0.570667864802695,0.566666666666667,0
2,-0.0025287951446314,0.0849150963951294,0.119171910872324,0.294557847604703,0.442222222222222,0
3,-0.0114816294961976,0.0819280879589516,0.123742373580107,0,0.78,0
4,-0.0114816294961976,0.0819280879589516,0.123742373580107,0,0.78,0
1,0.0234787983915225,0.0792761310651156,0.0967035683028266,0.706695210126085,0.62,0
2,-0.0124840291612302,0.0972322948440108,0.125583844928772,0.322532536302586,0.56,0
3,-0.0122417206258306,0.0958602513749047,0.12875543448524,0.466048191097486,0.371111111111111,12
4,-0.0110602309202926,0.0974675477338728,0.13008824743136,0.363449984951341,0.284444444444444,14
1,-0.0177524455704969,0.116388981387299,0.145595258952653,0.460323897548761,0.62,0
2,-0.0254924766427044,0.078148998024129,0.104500347944363,0.715045260613045,0.724444444444444,0
3,-0.0229446291058831,0.0823736610875542,0.12568312790556,0,0.746666666666667,0
4,-0.0229446291058831,0.0823736610875542,0.12568312790556,0,0.746666666666667,0
1,-0.000721386785516499,0.0889999126180995,0.113841580610832,0.707049974179128,0.64,0
2,-0.0260425328333108,0.085813888384629,0.116231443210795,0.641817670591497,0.74,0
3,-0.0262872884154188,0.0882165956540309,0.127168645586026,0.856531108575288,0.871111111111111,13
4,-0.0282402498917749,0.0906517167006948,0.130977889207106,0.689253405296946,0.811111111111111,13
1,0.0212114564189997,0.0821011851830433,0.102085801931529,0.646430298760942,0.573333333333333,0
2,-0.0127430367079291,0.090610975339725,0.124138099526215,0.234431649590132,0.486666666666667,0
3,-0.0200677125076707,0.0878477971315693,0.127749834948048,0,0.735555555555556,0
4,-0.0200677125076707,0.0878477971315693,0.127749834948048,0,0.735555555555556,0
